Company name,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
Omnyfy,startup,marketplace & ecommerce;saas,http://omnyfy.com,early stage,2-10,marketing;enterprise software,Melbourne,"134-136 Cambridge Street, Suite 8, Collingwood, Victoria 3066, AU",An enterprise class marketplace platform,https://www.linkedin.com/company/omnyfy/,https://ecosystem.innovationvictoria.com/companies/omnyfy,0,,
On The Ball Global,startup,subscription;saas,http://ontheballglobal.com,early stage,2-10,sports,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Football training app with sporting history and custom designed training sessions,https://www.linkedin.com/company/on-the-ball-global/,https://ecosystem.innovationvictoria.com/companies/onetheballglobal,0,,
On the Spot,startup,artificial intelligence;iot internetofthings;subscription;saas,http://onthespot.ai,early stage,2-10,real estate;enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI-powered site management and task coordination platform,https://www.linkedin.com/company/on-the-spot-app/,https://ecosystem.innovationvictoria.com/companies/on_the_spot_3,0,,
Onboarded,startup,subscription;saas,http://onboarded.com.au,early stage,2-10,jobs recruitment,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","A digital solution which simplifies the onboarding process for candidates, recruiters and labour hire companies",https://www.linkedin.com/company/20400169,https://ecosystem.innovationvictoria.com/companies/onboarded_1_2,0,,
Oncology One,scaleup,subscription;manufacturing,http://oncologyone.com.au,early stage,2-10,health,Melbourne,"305, Grattan Street, 3000 Melbourne, Australia",MEDIA RELEASE | Drug discovery project with Australian research institutions,https://www.linkedin.com/company/oncologyone/,https://ecosystem.innovationvictoria.com/companies/oncologyone,0,,
Oncoparse,startup,artificial intelligence;commission;manufacturing,http://oncoparse.com,early stage,2-10,health,Melbourne,"306, Albert Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia",Next-gen diagnostic tools transforming pancreatic cancer care with liquid biopsy technology and advanced data analysis,https://www.linkedin.com/company/oncoparse/,https://ecosystem.innovationvictoria.com/companies/oncoparse,0,,
OncoRevive,startup,commission,https://oncorevive.com/,early stage,2-10,health,Melbourne,"Albert Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia",Revolutionizing cancer detection and monitoring,https://www.linkedin.com/company/oncorevive/,https://ecosystem.innovationvictoria.com/companies/oncorevive,0,,
One Future Football,startup,advertising,https://1ff.com/,early stage,11-50,sports,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",A global virtual football league for football fans,https://www.linkedin.com/company/one-future-sports/,https://ecosystem.innovationvictoria.com/companies/one_future_football,0,,
one game,startup,subscription;marketplace & ecommerce,http://onegame.com.au,early stage,1,sports,Melbourne,"Swan St, Richmond, Victoria 3121, AU","Play games of Basketball, Netball, Futsal, Soccer, Touch + More",https://linkedin.com/company/onegame,https://ecosystem.innovationvictoria.com/companies/one_game_play_social_sport,0,,
One Grows,startup,selling own inventory;manufacturing,https://onegrows.com.au,early stage,1,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Develops digital ultrasound devices and apps for automated, accurate height and growth tracking",https://www.linkedin.com/company/one-grows-digital-length-height-measure-with-recording-app/,https://ecosystem.innovationvictoria.com/companies/one_grows,0,,
